"salinity","phase","salinity_unit","n","weight_mg","dev_weight","dev_weight_type","rate_type","rate","rate_unit","dev_rate","dev_rate_type","temperature","species","family","condition","type","dissolved_oxygen","do_unit","reference"
"field_seawater","juvenile","","1",1900,NA,"","routine",375,"mgO2_per_kg_per_h",NA,"",30,"scolopsis_bilineatus","nemipteridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",1800,NA,"","routine",394,"mgO2_per_kg_per_h",NA,"",30,"halichoeres_melanurus","labridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","juvenile","","3",560,90,"sd","routine",736,"mgO2_per_kg_per_h",35,"sd",30,"labroides_dimidiatus","labridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",38200,NA,"","standard",127.75,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",103.62,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",113.15,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",57.43,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",111.24,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",57.28,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",82.98,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",38200,NA,"","standard",115.78,"mgO2_per_kg_per_h",NA,"",28,"scolopsis_bilineatus","nemipteridae","","none",NA,""," Binning SA, Roche DG, Layton C (2013) Ectoparasites increase swimming costs in a coral reef fish. Biology Letters 9:20120927."
"field_seawater","adult","","1",3600,NA,"","routine",381,"mgO2_per_kg_per_h",NA,"",30,"parapercis_cylindrica","pinguipedidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","juvenile","","1",7450,NA,"","routine",474,"mgO2_per_kg_per_h",NA,"",30,"acanthurus_grammoptilus","acanthuridae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","adult","","5",1789,902,"sd","routine",238,"mgO2_per_kg_per_h",58,"sd",28,"caracanthus_unipinna","scorpaenidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","1",3190,NA,"","routine",193,"mgO2_per_kg_per_h",NA,"",30,"parascorpaena_mossambica","scorpaenidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","adult","","1",14400,NA,"","routine",228,"mgO2_per_kg_per_h",NA,"",30,"sebastapistes_cyanostigma","scorpaenidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","adult","","1",60.23,NA,"","standard",30.7,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",125.91,NA,"","standard",40.5,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",125.6,NA,"","standard",34.92,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",130.42,NA,"","standard",34.38,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",23.91,NA,"","standard",20.39,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",50.5,NA,"","standard",25,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",83.89,NA,"","standard",30.27,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",104.94,NA,"","standard",30.38,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",119.2,NA,"","standard",31.71,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",117.01,NA,"","standard",31.37,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",92.2,NA,"","standard",28.58,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",80.78,NA,"","standard",27.18,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",69.17,NA,"","standard",27.66,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",53.35,NA,"","standard",24.58,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",59.49,NA,"","standard",24.78,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",65.63,NA,"","standard",25.18,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",62.53,NA,"","standard",23.3,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",60.1,NA,"","standard",22.03,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",46.07,NA,"","standard",21.56,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",28.26,NA,"","standard",17.7,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",28.25,NA,"","standard",17.22,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",55.91,NA,"","standard",19.81,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",48.02,NA,"","standard",19.89,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",77.66,NA,"","standard",23.75,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",86.01,NA,"","standard",25.02,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",96.34,NA,"","standard",26.76,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",107.05,NA,"","standard",24.8,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",138,NA,"","standard",27.99,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",91.49,NA,"","standard",25.02,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",94.56,NA,"","standard",25.42,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",100.48,NA,"","standard",25.41,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",101.58,NA,"","standard",25.95,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",25.13,NA,"","standard",13.87,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",26.68,NA,"","standard",14.34,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",30.18,NA,"","standard",14.33,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",31.95,NA,"","standard",15.41,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",39.83,NA,"","standard",15.33,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",61.58,NA,"","standard",17.99,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",66.83,NA,"","standard",18.19,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",69.47,NA,"","standard",18.19,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",73.85,NA,"","standard",18.72,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",21.55,NA,"","standard",8.35,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",102.37,NA,"","standard",19.35,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",98.4,NA,"","standard",17.95,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",91.16,NA,"","standard",17.49,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",78.42,NA,"","standard",15.55,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",74.25,NA,"","standard",15.35,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_spinosa","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",21.1,NA,"","standard",12.49,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",115.24,NA,"","standard",27.35,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",53.07,NA,"","standard",18.05,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",79.32,NA,"","standard",20.52,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",93.53,NA,"","standard",20.56,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",62.69,NA,"","standard",17.97,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",63.12,NA,"","standard",17.03,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",75.14,NA,"","standard",17.69,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",138.56,NA,"","standard",20.13,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",138.34,NA,"","standard",20.13,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",128.49,NA,"","standard",19.2,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",85.42,NA,"","standard",17.96,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",95.92,NA,"","standard",18.28,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",81.69,NA,"","standard",16.88,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",84.75,NA,"","standard",16.95,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",86.72,NA,"","standard",17.21,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",108.14,NA,"","standard",16.99,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",105.31,NA,"","standard",17.53,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",96.99,NA,"","standard",16.53,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",110.08,NA,"","standard",14.17,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",93.92,NA,"","standard",14.92,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",66.81,NA,"","standard",14.34,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",63.31,NA,"","standard",14.27,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",18.2,NA,"","standard",5.63,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",25.23,NA,"","standard",10.07,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",26.55,NA,"","standard",10.4,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
"field_seawater","adult","","1",28.31,NA,"","standard",11.41,"uLO2_per_h",NA,"",28.75,"acanthemblemaria_aspera","chaenopsidae","1.5_h_after_collection","none",NA,""," Clarke RD (1992) Effects of microhabitat and metabolic rate on food intake, growth and fecundity of two competing coral reef fishes. Coral Reefs, 11:199-205."
